game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
L (3-37),4,22,48.1,166,0,30,64,0,2.1,71,3.2,11,5,2,18,3,40,2,2,0.161,1,0.75,75.2,0.0,17.0,17.0,50.0,0.309,1.11
W (44-37),1,11,53.7,233,3,44,192,2,4.4,65,6.5,8,10,0,18,3,15,0,1,0.114,1,4.29,59.3,0.75,38.0,65.0,135.0,0.369,1.75
W (57-0),1,11,50.0,238,3,43,281,5,6.5,58,8.9,7,15,1,23,4,50,1,0,0.317,1,5.25,52.2,1.0,18.0,3.0,61.0,0.552,1.61
L (16-29),2,9,73.3,145,1,46,125,1,2.7,67,4.0,4,10,2,16,2,15,0,2,0.095,0,3.33,75.8,1.0,24.0,7.0,120.0,0.333,1.24
W (14-10),4,10,56.0,94,2,38,136,0,3.6,55,4.2,5,6,1,12,7,56,3,1,0.145,0,7.0,70.2,0.5,33.0,19.0,111.0,0.426,1.17
L (10-27),0,9,58.8,56,0,41,144,0,3.5,64,3.1,5,9,0,14,10,64,0,0,0.123,0,0.0,41.3,0.667,44.0,49.0,64.0,0.313,1.07
L (3-45),3,18,73.3,147,0,28,77,0,2.8,65,3.4,9,3,1,13,3,27,0,3,0.205,0,1.5,73.3,1.0,1.0,0.0,9.0,0.231,1.08
L (3-40),2,14,48.6,160,0,28,37,0,1.3,57,3.5,7,3,0,10,3,25,0,2,0.073,1,1.5,78.9,1.0,3.0,0.0,38.0,0.25,0.64
L (13-20),2,12,61.4,218,0,29,121,1,4.2,57,5.9,7,6,1,14,5,35,0,2,0.197,1,2.6,73.5,0.0,34.0,12.0,77.0,0.333,1.21
L (6-38),1,29,42.9,305,0,31,60,0,1.9,84,4.3,14,4,1,19,4,21,0,1,0.273,1,1.0,69.9,0.0,5.0,0.0,22.0,0.229,1.5
L (16-18),1,14,46.8,211,2,39,173,0,4.4,66,5.8,10,12,0,22,4,39,0,1,0.091,1,2.5,77.8,0.833,35.0,34.0,91.0,0.446,1.21
W (34-31),0,12,51.9,162,1,41,241,3,5.9,63,6.4,7,12,0,19,4,35,0,0,0.1,0,4.5,62.8,0.75,47.0,94.0,146.0,0.444,1.37
W (31-28),0,17,44.7,201,2,45,208,2,4.6,68,6.0,7,13,4,24,10,109,0,0,0.113,1,6.2,75.1,0.889,57.0,29.0,154.0,0.544,1.06
L (28-56),0,21,73.9,295,3,31,132,1,4.3,72,5.9,13,9,1,23,7,61,0,0,0.179,0,5.6,75.2,0.5,26.0,33.0,65.0,0.325,2.11
W (38-15),0,25,35.5,368,3,34,141,2,4.1,64,8.0,16,8,1,25,6,60,0,0,0.288,1,5.43,71.4,1.0,22.0,20.0,82.0,0.611,1.35
L (7-38),4,17,83.3,104,0,22,102,1,4.6,54,3.8,5,4,1,10,12,123,2,2,0.333,1,0.0,68.8,0.0,18.0,98.0,38.0,0.207,1.12
L (27-55),2,29,30,276,4,30,87,0,2.9,81,4.5,12,5,5,22,6,75,0,2,0.136,1,5.6,77.3,0.75,21.0,18.0,65.0,0.406,1.27
W (38-31),1,14,32,204,3,31,77,2,2.5,57,4.9,10,4,3,17,7,45,1,0,0.164,0,4.43,61.3,1.0,13.0,35.0,48.0,0.286,1.71
L (10-14),3,21,69.2,160,0,40,113,1,2.8,78,3.5,10,8,1,19,4,45,1,2,0.222,1,1.25,62.8,1.0,27.0,9.0,124.0,0.303,1.0
L (32-59),3,27,55.3,363,3,35,139,2,4.0,81,6.2,17,7,4,28,2,10,0,3,0.2,0,5.0,76.1,1.0,9.0,0.0,64.0,0.404,1.48
W (45-42),2,8,52.0,204,2,52,236,3,4.5,72,6.1,5,11,3,19,8,66,0,2,0.154,1,5.17,68.2,0.714,58.0,81.0,166.0,0.391,1.85
W (34-30),0,20,40.0,230,1,38,125,4,3.3,69,5.1,8,8,3,19,4,30,0,0,0.136,0,7.0,72.0,0.8,33.0,17.0,108.0,0.418,1.41
L (20-38),2,13,68.4,189,1,34,125,1,3.7,54,5.8,9,6,1,16,6,40,1,1,0.13,0,3.5,72.7,1.0,35.0,48.0,78.0,0.4,1.45
L (7-22),0,14,65.0,133,0,28,77,1,2.8,53,4.0,6,3,1,10,7,48,0,0,0.158,0,1.4,72.3,0.0,22.0,30.0,59.0,0.25,1.76
W (27-21),1,19,85.2,155,2,42,216,1,5.1,69,5.4,10,9,1,20,7,90,0,1,0.305,0,4.5,73.0,0.5,45.0,96.0,114.0,0.362,1.54
L (6-20),2,22,70.4,235,0,37,141,0,3.8,79,4.8,12,8,1,21,2,20,0,2,0.188,1,1.0,73.5,0.429,47.0,20.0,103.0,0.38,1.1
W (66-17),2,36,62.8,405,5,42,274,3,6.5,87,7.8,21,15,1,37,4,30,1,1,0.4,1,4.5,70.1,1.0,58.0,50.0,125.0,0.625,1.12
L (24-31),1,25,80.0,283,1,41,146,2,3.6,79,5.4,14,7,4,25,6,50,1,0,0.175,1,2.83,73.3,0.714,42.0,114.0,111.0,0.443,1.22
W (36-14),1,32,80.9,396,2,33,58,2,1.8,77,5.9,16,4,3,23,9,80,1,0,0.286,1,3.36,57.0,0.0,21.0,32.0,65.0,0.412,1.64
L (6-42),0,23,72.7,159,1,25,40,0,1.6,58,3.4,6,4,3,13,12,106,0,0,0.213,0,3.5,77.0,0.0,5.0,2.0,7.0,0.208,1.51
L (35-43),4,35,63.6,397,4,39,102,0,2.6,87,5.7,17,5,2,24,17,182,1,3,0.183,0,2.33,73.1,0.667,16.0,3.0,58.0,0.476,1.1
L (14-35),3,23,51.9,276,2,31,50,0,1.6,70,4.7,14,4,1,19,8,65,2,1,0.152,0,3.5,75.5,0.0,15.0,0.0,43.0,0.264,1.68
L (7-41),2,13,59.0,114,0,37,89,1,2.4,65,3.1,5,8,1,14,5,64,2,0,0.167,1,2.33,75.2,1.0,23.0,46.0,46.0,0.286,0.77
W (42-7),1,20,50.0,254,2,45,261,4,5.8,66,7.8,12,12,5,29,4,25,1,0,0.244,1,5.25,68.7,1.0,39.0,55.0,116.0,0.705,1.05
W (41-7),0,23,95.2,248,1,27,74,3,2.7,61,5.3,15,2,3,20,8,59,0,0,0.371,0,4.25,55.2,1.0,14.0,7.0,41.0,0.479,1.09
L (13-31),2,13,58.6,123,1,38,146,0,3.8,69,3.9,4,9,0,13,11,112,0,2,0.25,1,1.86,65.5,0.75,33.0,56.0,78.0,0.309,1.27
W (44-0),1,18,41.9,184,1,44,182,5,4.1,76,4.8,10,12,1,23,5,41,1,0,0.487,1,4.09,50.9,1.0,35.0,18.0,96.0,0.446,1.16
L (6-25),1,9,67.9,71,0,22,81,0,3.7,42,3.6,2,6,1,9,8,75,0,1,0.127,0,3.0,73.2,1.0,25.0,16.0,69.0,0.31,0.85
L (0-21),3,13,45.0,95,0,35,57,0,1.6,64,2.4,4,5,1,10,3,15,0,3,0.054,0,0.0,82.0,0.667,23.0,13.0,62.0,0.222,0.76
W (49-7),1,18,70.5,233,1,51,327,6,6.4,74,7.6,13,19,1,33,4,20,1,0,0.524,1,7.0,77.4,0.8,60.0,43.0,150.0,0.792,0.9
W (22-7),2,21,78.3,284,1,35,111,0,3.2,59,6.7,10,9,2,21,5,35,2,0,0.154,1,3.14,69.8,0.4,43.0,31.0,101.0,0.491,0.95
L (10-17),2,23,81.5,180,0,15,5,0,0.3,58,3.2,11,2,0,13,5,64,0,2,0.155,1,0.6,64.1,1.0,8.0,2.0,37.0,0.293,1.12
L (17-23),1,28,53.5,256,2,24,97,0,4.0,73,4.8,9,7,4,20,6,54,0,1,0.184,0,2.83,66.3,0.667,27.0,27.0,81.0,0.371,1.18
W (14-12),3,15,35.7,292,2,24,13,0,0.5,54,5.6,9,3,1,13,8,79,2,1,0.182,1,0.0,73.2,1.0,27.0,37.0,38.0,0.356,1.37
W (24-17),0,15,50.0,284,2,33,80,1,2.4,60,6.1,10,5,1,16,8,65,0,0,0.171,0,3.4,71.9,1.0,31.0,15.0,55.0,0.39,1.45
W (66-13),0,18,75.0,248,4,37,306,4,8.3,69,8.0,12,12,2,26,3,45,0,0,0.32,1,5.25,75.8,0.5,26.0,71.0,80.0,0.373,1.9
W (31-24),0,21,56.3,289,2,20,22,1,1.1,57,5.5,10,5,1,16,7,60,0,0,0.19,0,4.25,78.3,1.0,6.0,2.0,24.0,0.368,1.54
W (34-31),1,23,71.1,233,2,34,132,2,3.9,73,5.0,11,7,3,21,7,52,0,1,0.136,1,4.8,64.7,1.0,26.0,34.0,93.0,0.389,1.26
W (53-10),0,26,59.0,370,5,33,143,2,4.3,67,7.7,17,8,4,29,3,25,0,0,0.222,1,5.78,62.2,1.0,17.0,22.0,37.0,0.622,1.63
W (45-3),1,24,65.0,287,2,28,99,3,3.5,61,6.3,13,7,2,22,3,40,0,1,0.538,1,5.43,62.7,0.8,16.0,15.0,57.0,0.513,1.19
W (49-21),3,28,72.7,394,3,36,188,4,5.2,76,7.7,18,11,2,31,5,40,2,1,0.19,1,6.0,72.3,0.833,27.0,6.0,103.0,0.576,1.22
W (49-35),2,39,77.5,344,3,25,118,3,4.7,73,6.3,18,7,2,27,6,55,1,1,0.265,1,4.8,56.5,1.0,31.0,36.0,62.0,0.563,1.15
W (40-3),0,36,81.3,363,4,27,167,0,6.2,77,6.9,16,9,0,25,5,35,0,0,0.531,0,4.0,65.0,0.5,32.0,50.0,69.0,0.509,1.11
W (35-14),1,15,80.0,144,1,45,250,4,5.6,71,5.5,8,9,2,19,2,23,1,0,0.208,1,5.6,66.9,0.667,35.0,111.0,120.0,0.394,1.53
W (30-17),1,15,57.7,191,1,43,182,2,4.2,70,5.3,11,9,4,24,9,66,1,0,0.121,0,5.0,72.3,1.0,51.0,39.0,123.0,0.414,1.36
W (30-16),1,16,70.6,222,2,32,158,1,4.9,59,6.4,9,4,0,13,14,142,0,1,0.284,0,4.29,63.7,0.0,27.0,58.0,102.0,0.305,1.82
L (24-37),0,30,77.1,355,3,16,-5,0,-0.3,69,5.1,16,2,2,20,11,114,0,0,0.149,1,4.8,75.1,0.0,5.0,11.0,19.0,0.358,1.7
L (10-55),1,28,56.6,142,1,19,59,0,3.1,63,3.2,7,4,4,15,5,27,0,1,0.128,0,3.33,75.6,1.0,10.0,3.0,34.0,0.323,0.56
L (41-43),1,24,64.7,260,2,38,183,4,4.8,81,5.5,14,11,2,27,6,44,0,1,0.188,0,4.0,71.5,1.0,39.0,47.0,109.0,0.446,1.11
L (23-34),2,19,69.2,202,1,28,139,2,5.0,56,6.1,13,4,2,19,6,58,0,2,0.125,0,7.0,72.1,1.0,31.0,78.0,87.0,0.528,1.28
W (23-17),2,25,67.9,303,1,41,207,2,5.0,77,6.6,14,11,1,26,6,72,2,0,0.257,1,3.4,80.3,1.0,41.0,79.0,119.0,0.526,1.09
W (41-7),1,27,42.9,344,0,42,214,5,5.1,79,7.1,18,12,3,33,7,60,1,0,0.25,1,4.25,71.4,1.0,42.0,109.0,104.0,0.545,1.38
W (29-27),2,11,73.0,190,1,34,92,1,2.7,60,4.7,11,2,1,14,5,50,1,1,0.183,1,2.5,65.8,0.0,26.0,13.0,92.0,0.302,1.4
W (20-13),1,12,54.5,123,0,29,112,1,3.9,51,4.6,4,4,1,9,0,0,0,1,0.173,0,2.6,77.3,0.6,17.0,50.0,52.0,0.333,1.09
L (0-31),4,6,54.5,56,0,17,20,0,1.2,33,2.3,2,2,0,4,4,28,4,0,0.092,0,0.0,70.1,0.0,5.0,8.0,15.0,0.125,1.29
L (13-20),1,23,77.8,203,1,31,87,0,2.8,75,3.9,12,7,0,19,2,24,0,1,0.176,1,2.17,71.4,0.333,17.0,1.0,70.0,0.387,0.97
W (34-27),0,27,52.3,348,3,34,74,1,2.2,72,5.9,17,2,1,20,5,40,0,0,0.111,1,5.67,71.1,0.0,17.0,9.0,56.0,0.31,1.76
W (34-23),2,21,78.6,277,2,44,262,2,6.0,73,7.4,12,12,3,27,4,34,1,1,0.302,1,3.78,75.5,1.0,76.0,87.0,164.0,0.542,1.26
W (38-27),0,14,72.4,130,3,37,221,0,6.0,56,6.3,8,14,1,23,7,70,0,0,0.278,1,4.0,68.9,0.5,68.0,43.0,134.0,0.518,1.07
W (42-13),1,21,71.0,250,3,38,147,3,3.9,70,5.7,10,9,1,20,5,45,0,1,0.288,1,5.25,58.0,0.667,35.0,23.0,94.0,0.471,1.36
W (44-31),1,27,65.6,255,0,40,281,6,7.0,82,6.5,16,12,4,32,5,63,0,1,0.207,1,5.63,70.2,1.0,62.0,108.0,150.0,0.481,1.29
L (6-28),1,11,37.5,174,0,36,26,0,0.7,53,3.8,8,4,2,14,5,39,0,1,0.103,0,1.5,70.3,0.667,16.0,5.0,77.0,0.327,1.12
L (10-53),0,8,64.7,102,0,38,129,1,3.4,53,4.4,4,7,0,11,11,72,0,0,0.135,0,3.33,78.3,1.0,29.0,16.0,84.0,0.389,1.29
W (28-17),1,24,58.1,299,4,23,115,0,5.0,61,6.8,14,5,1,20,10,70,0,1,0.148,1,3.5,66.6,0.0,32.0,30.0,77.0,0.424,1.44
W (45-28),2,15,63.2,205,1,31,160,3,5.2,60,6.1,9,7,3,19,10,106,0,2,0.226,0,5.17,72.6,0.6,34.0,76.0,67.0,0.356,1.7
L (31-38),0,25,43.8,285,2,40,172,2,4.3,76,6.0,13,10,1,24,10,70,0,0,0.091,0,5.17,74.2,0.857,48.0,10.0,127.0,0.566,0.94
W (45-38),3,22,69.4,249,1,38,269,4,7.1,67,7.7,13,9,2,24,5,32,1,2,0.177,1,4.0,69.0,0.8,55.0,161.0,121.0,0.493,1.32
L (14-38),1,21,77.3,241,1,24,28,1,1.2,57,4.7,8,1,2,11,5,54,0,1,0.172,0,4.67,75.5,1.0,9.0,3.0,30.0,0.263,1.75
L (37-40),1,15,63.6,217,3,40,215,2,5.4,65,6.6,8,10,4,22,5,41,1,0,0.116,1,4.75,71.8,0.667,38.0,66.0,126.0,0.508,1.11
W (24-14),0,12,48.4,99,0,40,285,2,7.1,62,6.2,4,15,0,19,3,30,0,0,0.197,1,2.83,73.0,1.0,62.0,101.0,145.0,0.435,1.34
W (21-14),1,13,34,238,1,39,184,2,4.7,62,6.8,10,10,0,20,6,50,0,1,0.197,1,3.5,76.4,1.0,35.0,23.0,133.0,0.525,1.19
W (72-10),0,24,59.5,320,5,48,302,5,6.3,82,7.6,14,18,2,34,2,20,0,0,0.455,1,6.3,61.5,1.0,56.0,51.0,109.0,0.667,1.42
W (34-31),1,20,70.6,320,4,29,189,0,6.5,58,8.8,14,9,3,26,5,51,0,1,0.191,1,3.33,75.6,1.0,46.0,64.0,112.0,0.517,1.49
W (31-13),1,17,80.0,261,1,38,131,3,3.4,68,5.8,9,7,6,22,4,39,1,0,0.191,0,2.43,68.6,0.6,38.0,73.0,38.0,0.313,2.07
W (38-20),2,25,60.5,287,1,34,243,3,7.1,70,7.6,11,15,2,28,4,50,0,2,0.222,1,4.63,72.6,0.4,47.0,80.0,122.0,0.536,1.19
W (31-9),1,21,69.4,223,3,31,139,1,4.5,67,5.4,10,6,2,18,4,50,0,1,0.23,0,3.44,58.1,1.0,23.0,19.0,85.0,0.369,1.22
L (14-59),2,14,58.8,161,1,27,140,1,5.2,51,5.9,5,6,0,11,9,73,1,1,0.19,0,2.33,74.0,1.0,35.0,55.0,55.0,0.5,1.1
L (17-19),4,23,58.3,340,1,34,124,1,3.6,75,6.2,12,8,3,23,7,81,1,3,0.26,0,3.4,81.7,0.5,44.0,33.0,112.0,0.378,1.4
W (37-3),0,21,73.7,239,2,41,150,2,3.7,70,5.6,9,7,2,18,3,40,0,0,0.364,0,4.8,69.5,0.6,13.0,12.0,51.0,0.446,1.16
L (27-34),2,31,72.4,316,3,29,83,0,2.9,76,5.3,15,6,1,22,5,39,0,2,0.169,1,4.5,68.7,1.0,24.0,7.0,84.0,0.351,1.48
W (48-33),1,21,80.0,374,5,24,77,0,3.2,54,8.4,10,4,2,16,10,115,1,0,0.123,1,4.5,95.0,0.0,20.0,15.0,50.0,0.37,2.06
W (41-7),0,17,70.0,220,3,42,323,2,7.7,67,8.1,10,14,0,24,7,65,0,0,0.341,0,4.56,65.3,1.0,63.0,62.0,135.0,0.563,1.26
W (41-28),3,12,54.2,302,4,35,144,0,4.1,57,7.8,8,8,1,17,8,70,1,2,0.27,0,3.33,5.9,1.0,38.0,14.0,109.0,0.431,1.57
W (62-20),0,15,54.5,180,2,43,466,6,10.8,64,10.1,9,16,3,28,4,45,0,0,0.317,1,5.64,95.8,1.0,52.0,210.0,118.0,0.714,1.54
W (35-7),1,23,83.9,313,2,33,179,3,5.4,61,8.1,14,8,1,23,4,30,0,1,0.389,1,4.0,68.6,0.75,34.0,37.0,93.0,0.56,1.4
W (31-7),0,15,82.1,214,1,40,201,2,5.0,61,6.8,9,11,0,20,3,18,0,0,0.147,1,4.0,77.0,0.8,37.0,23.0,106.0,0.51,1.3
W (45-14),2,19,54.5,303,3,38,162,3,4.3,61,7.6,13,8,0,21,5,45,2,0,0.5,1,6.2,65.2,1.0,21.0,45.0,55.0,0.541,1.4
L (9-31),5,26,82.6,274,1,31,102,0,3.3,75,5.0,12,11,3,26,6,70,2,3,0.138,1,1.43,78.4,0.889,33.0,15.0,79.0,0.473,0.97
L (19-23),0,22,68.6,219,2,29,66,0,2.3,65,4.4,10,5,1,16,6,42,0,0,0.175,0,5.67,75.1,0.0,30.0,48.0,36.0,0.323,1.71
L (23-31),2,30,61.1,279,2,43,151,1,3.5,84,5.1,13,10,3,26,6,65,2,0,0.129,1,1.43,70.3,0.714,37.0,10.0,129.0,0.434,1.23
W (25-6),2,10,54.5,117,0,56,296,2,5.3,71,5.8,7,18,3,28,2,17,1,1,0.238,1,2.86,71.3,0.6,79.0,57.0,188.0,0.507,0.98
L (34-37),0,14,66.7,153,2,42,244,2,5.8,61,6.5,7,7,1,15,5,59,0,0,0.159,0,3.86,65.3,0.714,44.0,96.0,121.0,0.426,1.49
W (31-24),1,13,69.0,162,3,39,145,1,3.7,56,5.5,8,5,3,16,9,90,1,0,0.319,1,3.43,60.5,0.8,38.0,22.0,113.0,0.415,1.02
L (30-37),2,30,76.5,487,1,23,32,2,1.4,71,7.3,18,1,1,20,5,48,1,1,0.091,0,3.29,71.7,0.333,10.0,0.0,50.0,0.408,1.77
W (23-19),0,14,76.9,204,2,46,112,1,2.4,65,4.9,6,12,3,21,5,50,0,0,0.262,1,5.67,71.0,0.5,36.0,6.0,122.0,0.46,1.06
W (34-27),1,18,73.7,341,2,36,201,2,5.6,61,8.9,11,11,0,22,7,41,1,0,0.195,1,2.86,75.2,1.0,56.0,58.0,115.0,0.475,1.47
W (24-0),0,11,42.9,163,1,44,245,2,5.6,62,6.6,6,12,0,18,4,35,0,0,0.196,1,2.43,67.4,1.0,43.0,46.0,127.0,0.49,1.03
L (14-36),4,11,57.9,119,1,41,222,1,5.4,63,5.4,5,10,0,15,6,40,3,1,0.206,0,2.33,75.5,1.0,43.0,73.0,80.0,0.367,1.69
W (28-14),0,8,50.0,107,1,48,312,3,6.5,66,6.3,5,12,3,20,6,55,0,0,0.194,1,4.2,73.3,0.714,58.0,139.0,143.0,0.422,1.45
L (24-31),0,15,38,113,0,37,150,3,4.1,59,4.5,4,7,3,14,3,30,0,0,0.116,1,6.0,72.6,0.4,33.0,55.0,84.0,0.4,1.21
L (7-35),0,15,62.5,168,0,31,61,1,2.0,57,4.0,9,5,1,15,3,35,0,0,0.08,0,2.33,75.2,0.0,15.0,23.0,31.0,0.25,1.43
W (45-28),1,15,57.7,190,0,48,307,6,6.4,75,6.6,9,11,3,23,10,96,0,1,0.268,0,5.0,59.4,0.714,56.0,127.0,151.0,0.442,1.5
W (56-10),2,15,57.1,291,4,36,296,4,8.2,56,10.5,11,10,3,24,11,95,0,2,0.275,1,7.0,67.5,1.0,39.0,115.0,77.0,0.611,1.9
W (34-31),0,9,75.0,192,1,38,136,4,3.6,55,6.0,8,7,4,19,6,55,0,0,0.136,0,5.6,71.3,1.0,37.0,23.0,94.0,0.396,1.77
W (58-21),0,17,59.3,380,3,42,270,5,6.4,64,10.2,13,12,3,28,6,75,0,0,0.333,1,5.43,69.5,1.0,38.0,33.0,113.0,0.62,1.37
W (27-17),0,10,77.3,220,2,30,177,1,5.9,45,8.8,8,7,0,15,7,77,0,0,0.186,0,5.0,76.7,0.8,52.0,29.0,118.0,0.489,1.32
W (40-34),0,21,75.0,208,0,45,319,5,7.1,75,7.0,7,18,2,27,5,60,0,0,0.16,1,3.33,73.8,1.0,57.0,88.0,160.0,0.551,1.15
W (41-24),0,22,70.0,296,1,39,77,3,2.0,69,5.4,14,4,4,22,3,29,0,0,0.237,0,4.25,67.7,0.333,25.0,23.0,69.0,0.368,1.49
L (24-45),3,22,65.4,260,2,30,84,1,2.8,78,4.4,10,5,5,20,8,54,0,3,0.115,1,4.0,65.2,1.0,22.0,18.0,67.0,0.257,1.77
W (24-21),1,15,45.8,180,2,36,139,1,3.9,67,4.8,7,13,1,21,7,62,0,1,0.186,0,4.25,73.8,1.0,46.0,15.0,122.0,0.424,1.07
L (39-46),3,21,57.7,301,3,46,247,2,5.4,81,6.8,12,13,1,26,3,35,1,2,0.159,0,4.56,58.0,0.5,44.0,56.0,98.0,0.373,1.68
L (11-14),3,23,48.3,297,1,34,63,0,1.9,72,5.0,13,5,1,19,7,70,0,3,0.143,1,0.6,71.6,0.833,25.0,8.0,84.0,0.394,1.31
L (14-22),3,17,60.5,128,1,41,167,1,4.1,70,4.2,6,11,1,18,5,38,1,2,0.162,1,3.5,73.4,0.5,36.0,45.0,127.0,0.377,1.07
W (38-7),0,13,58.5,207,2,39,184,3,4.7,59,6.6,6,10,1,17,4,33,0,0,0.294,1,6.2,69.2,0.8,40.0,49.0,113.0,0.556,1.19
W (37-34),1,34,65.0,400,4,29,92,1,3.2,80,6.2,17,5,3,25,8,87,1,0,0.115,1,6.2,74.9,1.0,38.0,11.0,36.0,0.415,1.3
W (56-3),1,24,80.0,336,4,33,221,3,6.7,63,8.8,15,10,1,26,4,36,1,0,0.387,1,7.0,72.3,0.5,28.0,68.0,62.0,0.639,1.61
W (41-17),0,17,80.0,342,3,37,236,2,6.4,65,8.9,10,13,0,23,8,72,0,0,0.18,1,5.4,77.1,0.625,64.0,124.0,124.0,0.542,1.61
W (27-10),2,12,51.0,104,3,45,199,0,4.4,60,5.1,4,13,1,18,3,30,1,1,0.283,1,4.5,61.9,1.0,45.0,31.0,114.0,0.471,0.94
W (10-7),0,16,80.0,135,1,37,112,0,3.0,69,3.6,8,8,2,18,1,15,0,0,0.213,1,2.5,71.8,0.667,28.0,6.0,111.0,0.348,1.01
W (35-7),0,21,58.3,359,3,27,123,2,4.6,60,8.0,14,6,3,23,6,65,0,0,0.178,1,5.6,73.1,1.0,25.0,32.0,67.0,0.458,1.77
W (17-14),0,21,63.6,240,0,27,126,2,4.7,65,5.6,14,2,3,19,5,35,0,0,0.109,0,2.0,71.6,0.4,16.0,51.0,73.0,0.359,1.62
W (28-11),0,19,90.9,176,4,47,189,0,4.0,74,4.9,11,11,0,22,9,93,0,0,0.26,1,4.67,67.1,0.5,21.0,20.0,63.0,0.516,1.37
W (20-6),1,26,70.4,322,1,34,103,1,3.0,72,5.9,16,4,1,21,8,53,1,0,0.152,0,3.33,78.3,1.0,26.0,18.0,72.0,0.435,1.19
W (27-15),0,22,62.5,191,2,31,113,1,3.6,63,4.8,6,8,2,16,9,62,0,0,0.175,0,4.5,61.2,0.667,23.0,45.0,70.0,0.435,1.11
L (27-34),2,23,68.8,278,2,24,131,1,5.5,72,5.7,12,6,0,18,3,25,0,2,0.099,0,3.33,76.1,0.5,25.0,67.0,64.0,0.333,1.82
W (38-31),0,13,52.0,247,4,35,145,1,4.1,54,7.3,8,10,2,20,3,22,0,0,0.132,1,6.2,70.5,0.75,39.0,12.0,119.0,0.564,1.07
W (37-20),1,18,70.7,274,2,35,89,1,2.5,63,5.8,12,6,0,18,5,51,0,1,0.183,0,3.75,64.7,0.667,30.0,14.0,91.0,0.371,1.5
W (38-30),0,32,86.8,359,2,31,113,1,3.6,75,6.3,13,7,1,21,14,124,0,0,0.171,0,3.83,71.5,0.5,26.0,9.0,88.0,0.473,1.21
W (42-6),1,30,72.7,282,3,38,240,3,6.3,73,7.2,13,13,4,30,9,80,0,1,0.542,1,6.0,72.6,1.0,47.0,51.0,79.0,0.617,1.24
W (55-7),0,17,78.6,181,3,37,269,3,7.3,63,7.1,9,13,1,23,2,25,0,0,0.588,1,5.86,63.3,0.667,17.0,89.0,42.0,0.552,1.43
L (35-38),1,17,65.4,198,1,39,242,4,6.2,73,6.0,9,12,4,25,5,31,0,1,0.145,0,4.38,72.4,0.833,54.0,86.0,119.0,0.458,1.44
W (30-13),0,17,31,219,1,40,164,2,4.1,77,5.0,12,7,1,20,7,70,0,0,0.278,0,4.29,61.7,0.4,29.0,25.0,105.0,0.403,1.19
