game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (45-19),2,17,26,235,4,40,268,2,6.7,66,7.6,2,15,2,27,8,88,2,0,1,2,22,44,291,1,26,157,1,6.0,70,6.4,3,9,3,22,16,112,0,2
L (21-27),1,21,32,338,3,43,144,0,3.3,75,6.4,1,11,1,26,7,61,0,1,1,0,10,15,161,0,32,130,2,4.1,47,6.2,2,4,2,11,10,78,0,0
L (34-37),0,30,40,285,3,37,146,1,3.9,77,5.6,3,9,3,27,5,55,0,0,0,1,15,21,192,2,33,335,3,10.2,54,9.8,2,10,2,19,3,35,1,0
W (31-3),3,18,24,248,0,38,230,3,6.1,62,7.7,2,9,2,20,6,55,3,0,1,3,2,8,25,0,56,193,0,3.4,64,3.4,1,10,1,12,5,48,2,1
L (28-34),2,27,48,324,3,28,63,1,2.3,76,5.1,1,4,1,21,6,45,0,2,1,2,17,32,216,2,37,151,2,4.1,69,5.3,1,7,1,20,4,50,0,2
L (34-37),0,17,40,148,1,33,221,3,6.7,73,5.1,1,9,1,19,6,50,0,0,0,2,18,21,243,2,36,109,1,3.0,57,6.2,2,7,2,16,9,74,2,0
L (21-27),2,16,28,249,3,26,49,0,1.9,54,5.5,2,4,2,16,5,28,0,2,0,0,21,30,264,1,43,176,1,4.1,73,6.0,1,9,1,22,8,91,0,0
W (21-20),2,19,32,168,1,35,111,2,3.2,67,4.2,1,7,1,19,3,23,1,1,1,3,25,39,232,2,39,123,0,3.2,78,4.6,1,9,1,20,5,52,1,2
L (20-26),1,20,37,250,1,23,89,1,3.9,60,5.7,1,7,1,17,4,39,0,1,0,1,16,29,173,2,43,235,0,5.5,72,5.7,1,11,1,21,6,43,1,0
W (34-14),1,25,39,318,3,28,140,0,5.0,67,6.8,1,6,1,23,9,80,0,1,0,1,14,31,140,0,33,77,2,2.3,64,3.4,2,4,2,12,4,48,0,1
W (34-28),2,17,32,216,2,37,151,2,4.1,69,5.3,1,7,1,20,4,50,0,2,0,2,27,48,324,3,28,63,1,2.3,76,5.1,1,4,1,21,6,45,0,2
W (34-3),1,14,22,185,1,38,129,2,3.4,60,5.2,2,7,2,15,4,21,1,0,1,1,14,29,121,0,37,72,0,1.9,66,2.9,0,5,0,11,6,45,0,1
L (3-47),1,16,36,123,0,27,75,0,2.8,63,3.1,1,4,1,12,8,76,0,1,0,0,19,33,280,3,46,257,2,5.6,79,6.8,4,12,4,28,6,55,0,0
W (31-10),1,21,29,198,2,42,275,2,6.5,71,6.7,2,11,2,21,12,113,0,1,1,2,14,30,166,1,35,110,0,3.1,65,4.2,2,7,2,16,15,120,0,2
L (9-30),1,15,29,167,0,33,142,0,4.3,62,5.0,3,8,3,19,6,49,0,1,0,0,19,29,242,2,29,137,1,4.7,58,6.5,1,8,1,20,10,81,0,0
W (22-21),2,25,46,298,1,42,154,1,3.7,88,5.1,2,10,2,26,5,37,1,1,1,0,14,23,246,2,45,118,1,2.6,68,5.4,4,6,4,21,4,36,0,0
L (20-38),0,17,31,309,2,25,49,0,2.0,56,6.4,2,2,2,13,8,72,0,0,0,1,17,26,221,2,45,269,3,6.0,71,6.9,4,15,4,28,8,67,0,1
W (21-20),1,18,36,237,2,29,67,1,2.3,65,4.7,2,8,2,17,6,66,0,1,0,0,22,40,254,2,31,209,0,6.7,71,6.5,3,9,3,23,6,44,0,0
W (27-16),1,21,34,186,1,34,215,2,6.3,68,5.9,0,8,0,20,5,35,1,0,0,2,25,39,356,2,21,24,0,1.1,60,6.3,1,0,1,15,2,10,1,1
L (41-44),2,31,45,426,4,33,129,1,3.9,78,7.1,2,6,2,29,2,10,1,1,0,1,19,29,251,2,36,231,2,6.4,65,7.4,0,10,0,21,5,37,1,0
W (66-20),1,32,39,460,5,34,252,4,7.4,73,9.8,1,11,1,28,8,85,1,0,1,3,18,43,214,1,27,149,1,5.5,70,5.2,4,9,4,24,7,73,1,2
W (40-14),1,15,31,255,4,30,150,1,5.0,61,6.6,3,7,3,18,3,35,0,1,1,3,13,27,125,2,44,236,0,5.4,71,5.1,2,12,2,20,5,58,0,3
W (28-20),0,15,21,103,1,42,184,2,4.4,63,4.6,0,10,0,19,4,25,0,0,0,2,17,25,185,2,36,129,0,3.6,61,5.1,0,7,0,15,2,15,1,1
W (28-9),1,36,49,310,4,19,109,0,5.7,68,6.2,4,4,4,23,12,115,1,0,0,4,22,39,209,0,31,131,1,4.2,70,4.9,4,4,4,17,10,94,2,2
W (48-21),1,28,35,290,3,29,128,2,4.4,64,6.5,3,10,3,26,10,75,0,1,0,4,20,35,284,2,44,177,1,4.0,79,5.8,2,12,2,24,7,80,2,2
L (9-28),4,22,39,209,0,31,131,1,4.2,70,4.9,4,4,4,17,10,94,2,2,1,1,36,49,310,4,19,109,0,5.7,68,6.2,4,4,4,23,12,115,1,0
L (21-26),2,15,31,135,1,37,179,1,4.8,68,4.6,1,7,1,17,6,50,1,1,0,1,28,43,267,3,39,142,0,3.6,82,5.0,3,5,3,22,3,30,0,1
W (47-3),0,19,33,280,3,46,257,2,5.6,79,6.8,4,12,4,28,6,55,0,0,1,1,16,36,123,0,27,75,0,2.8,63,3.1,1,4,1,12,8,76,0,1
W (26-21),1,28,43,267,3,39,142,0,3.6,82,5.0,3,5,3,22,3,30,0,1,1,2,15,31,135,1,37,179,1,4.8,68,4.6,1,7,1,17,6,50,1,1
W (21-20),1,15,34,209,1,41,185,2,4.5,75,5.3,2,10,2,20,8,65,1,0,1,1,21,39,251,2,40,156,0,3.9,79,5.2,3,7,3,20,10,84,0,1
L (19-21),2,18,28,226,1,30,98,0,3.3,58,5.6,3,6,3,16,6,42,1,1,1,3,32,47,424,2,36,81,0,2.3,83,6.1,0,6,0,25,5,61,1,2
W (30-20),2,17,35,294,2,36,47,1,1.3,71,4.8,4,4,4,18,5,46,0,2,1,3,25,51,286,1,38,170,1,4.5,89,5.1,3,5,3,18,12,79,1,2
L (9-30),1,16,27,129,0,37,75,0,2.0,64,3.2,4,9,4,17,4,42,1,0,0,1,24,29,316,4,28,185,0,6.6,57,8.8,2,7,2,23,8,100,1,0
W (52-33),0,26,33,213,1,50,273,6,5.5,83,5.9,4,14,4,30,6,67,0,0,0,4,15,28,345,3,34,77,2,2.3,62,6.8,4,5,4,19,12,101,3,1
L (20-33),3,18,29,249,2,25,52,1,2.1,54,5.6,3,5,3,19,7,65,0,3,1,0,11,17,178,2,55,310,1,5.6,72,6.8,3,18,3,27,13,110,0,0
L (7-24),1,25,37,193,1,17,42,0,2.5,54,4.4,1,4,1,16,4,17,0,1,1,1,1,4,44,1,58,405,2,7.0,62,7.2,1,19,1,21,6,44,1,0
L (14-48),1,9,16,87,0,26,163,2,6.3,42,6.0,2,3,2,9,12,93,0,1,0,1,10,15,121,2,66,421,4,6.4,81,6.7,5,23,5,32,6,69,1,0
W (52-16),0,10,18,124,2,33,185,4,5.6,51,6.1,1,8,1,15,4,55,0,0,1,6,23,44,190,2,40,179,0,4.5,84,4.4,1,11,1,22,10,70,1,5
W (17-10),1,18,32,217,1,36,87,1,2.4,68,4.5,4,6,4,21,4,25,1,0,1,1,26,37,218,0,29,79,1,2.7,66,4.5,0,6,0,16,8,80,1,0
L (13-28),1,21,42,272,1,16,21,0,1.3,58,5.1,0,3,0,13,7,50,0,1,1,0,10,16,106,2,52,263,2,5.1,68,5.4,0,12,0,18,1,15,0,0
W (14-9),1,16,27,177,1,41,107,1,2.6,68,4.2,1,7,1,17,7,72,0,1,1,1,22,37,303,0,37,107,0,2.9,74,5.5,1,9,1,23,10,55,0,1
W (48-0),0,14,25,244,2,43,281,4,6.5,68,7.7,2,9,2,20,7,80,0,0,1,3,11,29,61,0,32,77,0,2.4,61,2.3,2,5,2,10,8,90,0,3
L (14-59),4,28,45,316,1,31,30,1,1.0,76,4.6,4,4,4,24,7,78,0,4,0,0,14,17,198,3,39,252,3,6.5,56,8.0,4,11,4,25,8,67,0,0
W (13-12),0,15,24,160,0,30,102,1,3.4,54,4.9,0,5,0,12,9,85,0,0,0,1,14,28,114,0,45,170,0,3.8,73,3.9,4,12,4,23,4,23,1,0
W (20-17),0,23,37,243,2,19,42,0,2.2,56,5.1,4,5,4,20,10,100,0,0,0,1,23,35,271,1,42,227,1,5.4,77,6.5,4,12,4,26,14,134,1,0
W (38-21),2,24,39,237,1,48,261,4,5.4,87,5.7,2,14,2,30,2,15,2,0,0,3,23,45,356,2,15,29,1,1.9,60,6.4,0,1,0,15,4,45,0,3
W (36-32),1,26,41,269,3,34,157,1,4.6,75,5.7,3,6,3,25,6,56,0,1,1,1,18,33,270,2,34,110,2,3.2,67,5.7,3,8,3,23,9,85,1,0
W (35-12),1,25,30,274,2,34,225,3,6.6,64,7.8,1,8,1,22,8,72,0,1,1,1,19,34,210,1,29,150,0,5.2,63,5.7,1,9,1,19,4,40,1,0
L (19-31),1,21,32,312,0,37,98,2,2.6,69,5.9,1,6,1,18,6,44,1,0,0,0,13,19,269,2,27,57,0,2.1,46,7.1,3,4,3,14,7,69,0,0
L (13-31),1,21,42,252,1,21,56,0,2.7,63,4.9,2,3,2,15,14,122,0,1,0,2,15,23,165,3,47,257,1,5.5,70,6.0,1,14,1,22,4,45,1,1
L (12-16),2,24,28,260,1,35,58,0,1.7,63,5.0,3,5,3,18,8,70,1,1,0,1,19,32,174,2,29,75,0,2.6,61,4.1,1,4,1,15,5,67,0,1
L (0-34),3,13,21,92,0,33,148,0,4.5,54,4.4,1,8,1,12,7,68,2,1,0,0,15,19,213,2,38,149,2,3.9,57,6.4,5,7,5,22,5,35,0,0
W (30-9),0,19,29,242,2,29,137,1,4.7,58,6.5,1,8,1,20,10,81,0,0,1,1,15,29,167,0,33,142,0,4.3,62,5.0,3,8,3,19,6,49,0,1
L (7-21),2,16,25,185,1,32,34,0,1.1,57,3.8,3,5,3,17,9,60,1,1,0,0,15,21,135,0,44,239,3,5.4,65,5.8,2,14,2,24,6,63,0,0
W (42-13),0,25,33,307,4,29,123,2,4.2,62,6.9,4,5,4,25,14,127,0,0,0,2,15,24,142,0,26,96,1,3.7,50,4.8,5,6,5,16,7,74,1,1
W (42-28),4,22,33,359,3,42,151,3,3.6,75,6.8,1,10,1,28,4,38,2,2,1,0,26,41,289,3,30,112,1,3.7,71,5.6,2,5,2,19,10,93,0,0
W (38-21),0,20,24,178,1,45,284,3,6.3,69,6.7,2,16,2,25,0,0,0,0,1,1,16,26,229,2,21,24,0,1.1,47,5.4,0,4,0,10,6,39,0,1
W (52-7),2,16,25,253,2,48,237,5,4.9,73,6.7,1,14,1,25,2,15,0,2,1,4,9,23,118,1,35,64,0,1.8,58,3.1,0,4,0,12,5,50,2,2
L (20-23),2,12,24,153,0,35,199,2,5.7,59,6.0,0,8,0,17,9,90,0,2,1,0,7,18,86,1,47,181,1,3.9,65,4.1,3,11,3,17,3,25,0,0
L (27-38),1,15,34,179,1,34,167,2,4.9,68,5.1,3,11,3,20,6,50,0,1,1,3,28,37,356,3,35,151,1,4.3,72,7.0,0,11,0,26,5,52,1,2
W (31-7),0,14,23,156,2,41,235,1,5.7,64,6.1,2,15,2,21,3,20,0,0,1,1,26,42,268,0,19,56,1,2.9,61,5.3,0,5,0,16,9,74,0,1
W (42-20),1,19,31,259,3,34,300,3,8.8,65,8.6,1,10,1,23,6,49,0,1,1,3,26,50,364,1,30,126,1,4.2,80,6.1,3,7,3,25,2,20,1,2
L (0-71),0,9,16,58,0,32,54,0,1.7,48,2.3,1,5,1,8,2,7,0,0,0,0,16,25,284,3,55,456,6,8.3,80,9.3,0,20,0,32,5,54,0,0
L (33-52),4,15,28,345,3,34,77,2,2.3,62,6.8,4,5,4,19,12,101,3,1,1,0,26,33,213,1,50,273,6,5.5,83,5.9,4,14,4,30,6,67,0,0
L (6-31),2,6,17,44,0,46,139,0,3.0,63,2.9,0,11,0,13,11,63,0,2,1,1,11,15,173,2,35,79,1,2.3,50,5.0,3,4,3,13,8,70,0,1
W (41-6),0,19,27,282,0,41,206,4,5.0,68,7.2,1,13,1,25,6,45,0,0,1,2,8,19,110,0,32,113,1,3.5,51,4.4,1,8,1,14,5,40,1,1
W (28-10),2,15,19,228,1,43,179,3,4.2,62,6.6,1,8,1,19,2,20,2,0,1,3,26,43,244,1,30,91,0,3.0,73,4.6,1,8,1,18,2,25,1,2
L (33-41),2,19,35,238,2,28,175,2,6.3,63,6.6,6,7,6,22,3,10,0,2,1,0,11,17,83,1,47,272,2,5.8,64,5.5,0,14,0,18,8,91,0,0
L (20-23),3,17,30,197,1,41,87,2,2.1,71,4.0,2,7,2,17,3,25,2,1,1,0,24,36,228,1,30,105,1,3.5,66,5.0,0,4,0,14,13,110,0,0
L (3-51),2,11,25,54,0,25,57,0,2.3,50,2.2,1,3,1,7,10,56,0,2,0,2,15,29,258,2,52,239,5,4.6,81,6.1,3,13,3,26,7,55,0,2
W (31-19),0,13,19,269,2,27,57,0,2.1,46,7.1,3,4,3,14,7,69,0,0,1,1,21,32,312,0,37,98,2,2.6,69,5.9,1,6,1,18,6,44,1,0
W (36-33),2,24,40,285,2,32,132,3,4.1,72,5.8,5,7,5,26,9,75,1,1,0,3,11,20,155,0,41,243,4,5.9,61,6.5,3,8,3,18,13,123,2,1
W (42-10),2,29,42,430,2,27,237,4,8.8,69,9.7,0,8,0,29,4,40,0,2,1,0,21,31,223,1,32,110,0,3.4,63,5.3,0,8,0,16,5,35,0,0
L (14-49),0,18,27,139,1,43,125,1,2.9,70,3.8,3,8,3,18,8,52,0,0,0,2,18,26,289,2,31,280,5,9.0,57,10.0,2,9,2,23,5,54,1,1
L (24-27),1,26,34,253,2,31,86,1,2.8,65,5.2,3,6,3,21,9,80,0,1,1,3,24,38,363,3,31,121,0,3.9,69,7.0,4,9,4,26,10,100,1,2
L (28-42),0,26,41,289,3,30,112,1,3.7,71,5.6,2,5,2,19,10,93,0,0,0,4,22,33,359,3,42,151,3,3.6,75,6.8,1,10,1,28,4,38,2,2
W (20-12),1,25,39,272,2,32,65,0,2.0,71,4.7,3,5,3,19,5,35,0,1,0,3,16,31,201,0,24,37,1,1.5,55,4.3,0,3,0,11,6,43,2,1
W (24-7),1,26,41,227,0,32,186,3,5.8,73,5.7,1,9,1,22,4,33,1,0,1,2,21,31,283,0,25,29,1,1.2,56,5.6,1,4,1,13,5,46,2,0
W (62-0),0,30,40,507,6,31,243,2,7.8,71,10.6,0,9,0,31,8,85,0,0,1,1,18,32,109,0,20,6,0,0.3,52,2.2,1,2,1,9,3,15,0,1
W (38-34),3,24,38,343,4,32,165,1,5.2,70,7.3,1,9,1,24,6,59,1,2,1,1,20,34,188,2,32,206,2,6.4,66,6.0,2,11,2,23,6,40,0,1
L (16-27),2,25,39,356,2,21,24,0,1.1,60,6.3,1,0,1,15,2,10,1,1,1,1,21,34,186,1,34,215,2,6.3,68,5.9,0,8,0,20,5,35,1,0
W (23-20),1,16,25,181,1,36,168,1,4.7,61,5.7,2,8,2,19,9,65,0,1,1,0,9,22,173,1,41,171,1,4.2,63,5.5,2,8,2,15,8,65,0,0
L (12-31),3,22,33,204,1,23,80,0,3.5,56,5.1,0,4,0,13,4,30,1,2,1,0,24,36,246,3,32,143,1,4.5,68,5.7,0,9,0,19,7,45,0,0
W (27-24),2,7,12,32,0,46,290,3,6.3,58,5.6,0,12,0,12,3,25,2,0,1,2,28,52,283,3,21,96,0,4.6,73,5.2,0,3,0,17,6,32,1,1
W (27-24),3,24,38,363,3,31,121,0,3.9,69,7.0,4,9,4,26,10,100,1,2,0,1,26,34,253,2,31,86,1,2.8,65,5.2,3,6,3,21,9,80,0,1
L (7-38),3,16,25,199,1,25,47,0,1.9,50,4.9,0,3,0,13,2,19,2,1,1,1,26,40,298,3,35,185,2,5.3,75,6.4,1,6,1,23,4,40,0,1
L (21-49),1,24,31,456,3,23,58,0,2.5,54,9.5,0,3,0,21,7,57,0,1,1,0,31,37,481,6,35,150,1,4.3,72,8.8,1,11,1,30,3,25,0,0
L (7-24),2,21,31,283,0,25,29,1,1.2,56,5.6,1,4,1,13,5,46,2,0,0,1,26,41,227,0,32,186,3,5.8,73,5.7,1,9,1,22,4,33,1,0
W (27-0),1,16,26,191,1,32,195,2,6.1,58,6.7,3,8,3,20,5,34,0,1,1,3,15,22,114,0,31,58,0,1.9,53,3.2,1,5,1,10,8,89,0,3
L (24-27),2,27,41,258,1,25,38,2,1.5,66,4.5,2,6,2,20,7,51,1,1,0,1,10,18,86,1,43,155,2,3.6,61,4.0,1,9,1,15,5,54,0,1
L (17-41),2,28,40,319,2,27,66,0,2.4,67,5.7,1,6,1,21,10,104,1,1,1,1,23,28,285,3,45,169,2,3.8,73,6.2,3,9,3,26,8,50,1,0
L (13-35),1,12,23,144,0,50,150,1,3.0,73,4.0,0,12,0,19,9,75,1,0,0,2,26,31,325,2,31,198,3,6.4,62,8.4,2,7,2,21,8,65,2,0
W (27-21),0,21,30,264,1,43,176,1,4.1,73,6.0,1,9,1,22,8,91,0,0,1,2,16,28,249,3,26,49,0,1.9,54,5.5,2,4,2,16,5,28,0,2
W (56-44),0,10,14,205,2,39,361,5,9.3,53,10.7,0,13,0,21,5,31,0,0,1,1,33,57,385,2,38,274,4,7.2,95,6.9,1,13,1,32,4,35,0,1
W (28-10),0,23,30,185,1,35,149,2,4.3,65,5.1,5,10,5,22,12,105,0,0,1,2,23,40,244,1,22,16,0,0.7,62,4.2,1,3,1,15,9,104,1,1
W (28-10),0,17,27,257,1,32,161,2,5.0,59,7.1,8,6,8,26,11,94,0,0,0,1,18,25,174,1,31,50,0,1.6,56,4.0,0,4,0,12,13,165,0,1
W (28-26),0,18,21,179,2,34,214,2,6.3,55,7.1,0,8,0,16,4,45,0,0,0,0,20,30,200,1,36,191,2,5.3,66,5.9,2,11,2,23,4,40,0,0
L (0-27),3,15,22,114,0,31,58,0,1.9,53,3.2,1,5,1,10,8,89,0,3,0,1,16,26,191,1,32,195,2,6.1,58,6.7,3,8,3,20,5,34,0,1
W (23-20),0,7,18,86,1,47,181,1,3.9,65,4.1,3,11,3,17,3,25,0,0,0,2,12,24,153,0,35,199,2,5.7,59,6.0,0,8,0,17,9,90,0,2
L (19-45),2,22,44,291,1,26,157,1,6.0,70,6.4,3,9,3,22,16,112,0,2,0,2,17,26,235,4,40,268,2,6.7,66,7.6,2,15,2,27,8,88,2,0
W (50-40),0,13,28,248,0,49,331,7,6.8,77,7.5,3,15,3,28,14,170,0,0,0,0,13,29,189,1,35,285,4,8.1,64,7.4,6,11,6,27,7,64,0,0
L (0-48),3,11,29,61,0,32,77,0,2.4,61,2.3,2,5,2,10,8,90,0,3,0,0,14,25,244,2,43,281,4,6.5,68,7.7,2,9,2,20,7,80,0,0
L (40-50),0,13,29,189,1,35,285,4,8.1,64,7.4,6,11,6,27,7,64,0,0,1,0,13,28,248,0,49,331,7,6.8,77,7.5,3,15,3,28,14,170,0,0
W (38-20),1,17,26,221,2,45,269,3,6.0,71,6.9,4,15,4,28,8,67,0,1,1,0,17,31,309,2,25,49,0,2.0,56,6.4,2,2,2,13,8,72,0,0
L (20-21),1,21,39,251,2,40,156,0,3.9,79,5.2,3,7,3,20,10,84,0,1,0,1,15,34,209,1,41,185,2,4.5,75,5.3,2,10,2,20,8,65,1,0
W (30-20),1,22,33,210,0,36,151,2,4.2,69,5.2,1,9,1,20,4,40,0,1,1,2,19,36,281,1,19,33,1,1.7,55,5.7,0,3,0,12,2,20,1,1
W (24-17),0,13,20,109,1,27,62,1,2.3,47,3.6,3,3,3,11,6,46,0,0,1,4,14,29,159,1,44,120,1,2.7,73,3.8,1,11,1,20,6,56,2,2
L (21-66),3,17,31,218,2,33,135,1,4.1,64,5.5,2,5,2,13,5,60,0,3,0,1,24,34,354,4,37,232,4,6.3,71,8.3,1,13,1,25,8,55,0,1
W (52-20),0,22,34,439,5,26,179,2,6.9,60,10.3,0,5,0,21,14,130,0,0,1,2,20,44,186,2,47,229,0,4.9,91,4.6,5,12,5,27,6,45,0,2
L (20-23),2,23,43,194,0,42,165,2,3.9,85,4.2,5,8,5,24,5,55,1,1,1,1,10,17,107,1,37,77,1,2.1,54,3.4,2,4,2,9,5,74,1,0
L (20-26),2,19,35,156,0,38,132,2,3.5,73,3.9,2,7,2,19,7,57,1,1,1,2,25,40,250,3,30,93,0,3.1,70,4.9,1,4,1,18,9,80,1,1
L (14-16),2,20,33,163,0,28,123,2,4.4,61,4.7,1,7,1,17,3,35,0,2,1,0,10,20,198,1,45,190,0,4.2,65,6.0,1,9,1,16,3,35,0,0
W (28-3),2,17,28,158,1,36,270,3,7.5,64,6.7,5,8,5,24,8,66,2,0,1,2,14,36,119,0,28,110,0,3.9,64,3.6,3,8,3,17,10,100,0,2
W (27-20),1,20,28,204,1,40,192,2,4.8,68,5.8,0,9,0,20,8,85,1,0,1,1,23,37,228,1,27,114,1,4.2,64,5.3,2,5,2,18,7,50,1,0
W (30-10),2,12,18,204,2,51,236,2,4.6,69,6.4,3,9,3,21,11,91,2,0,1,2,25,38,196,1,20,-18,0,-0.9,58,3.1,2,1,2,14,6,60,0,2
W (56-0),0,25,33,410,2,39,273,6,7.0,72,9.5,0,13,0,30,6,58,0,0,1,0,8,17,71,0,31,28,0,0.9,48,2.1,1,0,1,6,2,2,0,0
W (38-7),1,26,40,298,3,35,185,2,5.3,75,6.4,1,6,1,23,4,40,0,1,0,3,16,25,199,1,25,47,0,1.9,50,4.9,0,3,0,13,2,19,2,1
W (16-12),1,19,32,174,2,29,75,0,2.6,61,4.1,1,4,1,15,5,67,0,1,1,2,24,28,260,1,35,58,0,1.7,63,5.0,3,5,3,18,8,70,1,1
L (15-25),3,18,34,186,1,34,36,1,1.1,68,3.3,4,4,4,16,3,32,2,1,1,2,13,21,194,1,52,151,1,2.9,73,4.7,1,8,1,14,10,82,2,0
W (45-10),1,28,39,431,5,35,129,1,3.7,74,7.6,1,9,1,24,9,80,0,1,0,1,19,37,236,0,32,116,1,3.6,69,5.1,2,8,2,19,4,40,0,1
L (20-42),3,26,50,364,1,30,126,1,4.2,80,6.1,3,7,3,25,2,20,1,2,0,1,19,31,259,3,34,300,3,8.8,65,8.6,1,10,1,23,6,49,0,1
L (14-20),2,20,34,192,1,41,95,1,2.3,75,3.8,3,5,3,17,10,95,1,1,1,4,25,38,283,0,51,183,2,3.6,89,5.2,1,9,1,26,10,70,0,4
W (30-27),0,12,27,144,2,36,189,2,5.3,63,5.3,1,9,1,16,6,48,0,0,0,1,27,36,303,2,33,96,2,2.9,69,5.8,3,8,3,23,7,65,0,1
W (40-6),2,26,34,377,2,45,272,3,6.0,79,8.2,2,18,2,33,11,114,1,1,0,2,24,42,265,0,32,46,0,1.4,74,4.2,5,2,5,21,6,60,1,1
L (17-20),1,18,27,261,1,29,92,1,3.2,56,6.3,0,6,0,14,8,53,1,0,1,0,18,28,243,1,47,93,1,2.0,75,4.5,3,11,3,22,3,30,0,0
W (49-14),0,23,27,306,2,32,240,4,7.5,59,9.3,2,9,2,26,3,36,0,0,0,0,23,35,178,0,32,131,2,4.1,67,4.6,2,8,2,19,6,65,0,0
L (14-49),0,23,35,178,0,32,131,2,4.1,67,4.6,2,8,2,19,6,65,0,0,1,0,23,27,306,2,32,240,4,7.5,59,9.3,2,9,2,26,3,36,0,0
W (34-27),1,13,20,204,2,37,234,2,6.3,57,7.7,0,10,0,21,7,76,0,1,1,2,25,40,254,2,26,121,1,4.7,66,5.7,1,4,1,20,3,18,0,2
W (21-7),0,15,21,135,0,44,239,3,5.4,65,5.8,2,14,2,24,6,63,0,0,1,2,16,25,185,1,32,34,0,1.1,57,3.8,3,5,3,17,9,60,1,1
W (28-27),1,20,35,302,3,33,196,0,5.9,68,7.3,2,10,2,24,5,50,0,1,0,1,22,38,298,3,37,151,0,4.1,75,6.0,0,7,0,21,6,59,1,0
L (21-38),2,7,17,56,1,30,263,2,8.8,47,6.8,1,10,1,13,2,25,1,1,0,0,10,18,104,0,57,341,4,6.0,75,5.9,1,20,1,25,6,47,0,0
L (7-33),2,16,27,84,0,24,75,1,3.1,51,3.1,3,3,3,9,4,30,1,1,0,0,12,21,142,1,42,237,3,5.6,63,6.0,0,9,0,16,5,64,0,0
L (20-21),0,22,40,254,2,31,209,0,6.7,71,6.5,3,9,3,23,6,44,0,0,1,1,18,36,237,2,29,67,1,2.3,65,4.7,2,8,2,17,6,66,0,1
W (26-23),1,16,25,269,0,52,153,3,2.9,77,5.5,3,9,3,25,4,20,1,0,0,3,13,27,137,0,27,183,3,6.8,54,5.9,0,9,0,14,4,34,2,1
L (14-45),2,17,24,219,2,30,67,0,2.2,54,5.3,1,1,1,12,6,35,0,2,0,1,14,17,170,0,57,384,6,6.7,74,7.5,0,24,0,29,6,45,1,0
